rainfall(mm),avgT,LowT,HighT,seoulDiag,seoulDadd,under_treatment,cured,dead,sus_patient,sus_patient_checking,sus_pat_negative
0.1,23.6,18.8,29.5,45497,139,2707,42292,498,0,0,0
0,25.8,19.5,31.6,45679,183,2754,42426,499,0,0,0
6.1,24.9,20.5,29.8,45892,213,2766,42627,499,0,0,0
4.6,21.5,19.9,24.4,46096,204,2822,42775,499,0,0,0
0,24.2,18.2,30.2,46302,208,2629,43174,499,0,0,0
0,24.8,20.9,29.7,46478,176,2681,43296,501,0,0,0
0,24.8,18.9,30.2,46600,122,2695,43404,501,0,0,0
1.9,22.5,21.5,25.3,46732,132,2585,43645,502,0,0,0
0,24.3,20.3,28.9,46932,201,2531,43898,503,0,0,0
0,21.9,19.6,25,47133,201,2547,44082,504,0,0,0
6.3,20,19,21.4,47333,200,2354,44474,505,0,0,0
7.5,22.4,18.8,27.9,48196,236,2419,45267,510,0,0,0
0,23,18.5,28,48448,252,2547,45391,510,0,0,0
0,24.1,19.5,29.5,48717,269,2496,45710,511,0,0,0
4.5,22.8,19.9,26.7,48980,263,2581,45887,512,0,0,0
38.2,24.5,19.8,30.8,49222,242,2712,45998,512,0,0,0
0.1,23.7,21,29.2,49407,185,2808,46086,513,0,0,0
8,23.9,21.3,28.4,49612,205,2948,46151,513,0,0,0
6,24.3,21,28.8,49987,375,2973,46501,513,0,0,0
0,26.3,21.4,31,50321,334,3214,46593,514,0,0,0
0,27.1,23.6,31.8,50668,347,3485,46668,515,0,0,0
60,22.6,19.6,25.7,51026,359,3462,47048,516,0,0,0
21.4,21.4,19.8,23.1,51314,289,3591,47207,516,0,0,0
0,23.3,20.1,26.9,51621,307,3707,47397,517,0,0,0
0,25.3,21,30.1,51941,320,3792,47631,518,0,0,0
12.7,26.4,23.9,29.1,52524,583,4067,47939,518,0,0,0
2.9,26,23.8,29.8,53074,550,4490,48066,518,0,0,0
0,25.5,23.6,29.2,53577,503,4791,48267,519,0,0,0
0.5,25.9,23.1,29.2,54086,509,5023,48542,521,0,0,0
0.4,25.7,24.1,27.5,54595,509,5253,48819,523,0,0,0
67.4,26.4,24,30.5,58646,419,7061,51058,527,0,0,0
3,29.8,26.8,34.3,64359,476,7760,56065,534,0,0,0
21,27.1,25.1,28.8,64832,473,8109,56188,535,0,0,0
1.7,26.5,25,28.6,65193,365,8274,56384,535,0,0,0
12.7,26.8,24.4,32.1,67872,450,8322,59008,542,0,0,0
9.3,25.9,21.9,31.3,72086,366,9158,62368,560,0,0,0
